"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000044678",139.462978104659,1.62661752003898,0.196778899969554,8.2662191946934,1.38274215416032e-16,1.84872626011235e-12
"ENSMUSG00000046546",2892.63672346791,0.994541630664885,0.128553182321712,7.7364217104792,1.02253900505869e-14,6.83567324881732e-11
"ENSMUSG00000025823",4457.07774569568,0.551131732941007,0.0790491749630085,6.97201119681403,3.12441679648908e-12,1.04433631422648e-08
"ENSMUSG00000015312",1535.31245956791,-1.44735074948495,0.206829296236676,-6.99780338578697,2.60006608841814e-12,1.04433631422648e-08
"ENSMUSG00000048621",507.56860322172,1.02254231870305,0.150725973724164,6.78411486380146,1.16800375616278e-11,2.2308871742709e-08
"ENSMUSG00000032089",1333.67778703128,-0.794498815400642,0.116504348257105,-6.81947779019649,9.13720379372823e-12,2.2308871742709e-08
"ENSMUSG00000017493",376.1129852509,-2.18303250297907,0.321266986757737,-6.79507261237915,1.08257988684541e-11,2.2308871742709e-08
"ENSMUSG00000109684",109.177801736233,2.09345920314312,0.319453650552697,6.55324864662263,5.62986580292152e-11,9.40891322313259e-08
"ENSMUSG00000038894",1245.62387825369,1.83454492533147,0.296568904304545,6.18589777520165,6.17500154508097e-10,9.17330785085918e-07
"ENSMUSG00000049892",76.5702367910063,1.90544920611739,0.318736323465776,5.97813636487523,2.25704767380814e-09,3.01767273988149e-06
"ENSMUSG00000030401",146.576689506633,-5.03408586414178,0.850174535877657,-5.92123811253058,3.19526823127808e-09,3.88370329565345e-06
"ENSMUSG00000040435",4854.57491711359,1.16412327117704,0.201983308762222,5.76346272526639,8.2405459373089e-09,9.181341598485e-06
"ENSMUSG00000111213",27.9318587341388,-3.26428529659009,0.568551500070322,-5.74140653254164,9.38933787940238e-09,9.65657288058537e-06
"ENSMUSG00000032514",32.0204825827689,-5.10141190038448,0.902294488214311,-5.65382141531247,1.56919253012001e-08,1.49857886626461e-05
"ENSMUSG00000097971",2079.32803944288,0.838593253527845,0.149303447893622,5.61670386959407,1.94634572491529e-08,1.73484282280783e-05
"ENSMUSG00000022346",1490.66940864476,0.882433002832989,0.160309193569107,5.5045689095341,3.70072691709878e-08,3.09241993010066e-05
"ENSMUSG00000049323",660.072471187474,1.20236946483901,0.219611260056652,5.47499005528605,4.37536181905659e-08,3.44109338357568e-05
"ENSMUSG00000056185",49.2494374897112,-1.58423181065901,0.293842111670886,-5.39143896581241,6.98956997626748e-08,5.19169725459424e-05
"ENSMUSG00000079018",53.8437706963443,-2.39341205396012,0.448154340965532,-5.34059772533633,9.26406213190678e-08,6.51897424755756e-05
"ENSMUSG00000082610",17.5414922681523,-5.98907226085158,1.16179548189296,-5.15501424664978,2.53611646826317e-07,0.000169539385903393
"ENSMUSG00000072620",3510.77501450299,-0.588243322738428,0.114697276793268,-5.12865988787761,2.91811998396514e-07,0.000185786972312447
"ENSMUSG00000045954",39.3886939174654,-2.15458524850775,0.426536600138805,-5.05134904673268,4.38700562141975e-07,0.000252342176124555
"ENSMUSG00000020718",200.702502283594,-1.5605937423038,0.309136550265597,-5.04823431898623,4.45912032304598e-07,0.000252342176124555
"ENSMUSG00000024401",285.166915391192,-2.1118096457354,0.418575288950647,-5.04523248620249,4.52970248839889e-07,0.000252342176124555
"ENSMUSG00000072235",1716.1054662836,-0.843062817887805,0.167737085754461,-5.02609672807783,5.00563479065404e-07,0.000267701348604178
"ENSMUSG00000087485",30.1938183404127,3.144591637159,0.631500826366845,4.97955268760372,6.37314015844278e-07,0.000327726476609154
"ENSMUSG00000087020",68.782641580162,2.30627194311662,0.464296062054692,4.96724424693689,6.79110328666032e-07,0.000336285373861661
"ENSMUSG00000069270",137.306036103493,-1.66528921168656,0.343562055676643,-4.84712785993431,1.25261702137604e-06,0.000598124627707057
"ENSMUSG00000085078",60.2272235664028,2.66519023881031,0.551753773092002,4.83039784916143,1.36260507518781e-06,0.000628207926043484
"ENSMUSG00000033016",2161.07171664024,0.5342416790352,0.111038875673186,4.8113030305494,1.49949465291409e-06,0.000668274783648711
"ENSMUSG00000098134",506.536364493994,0.579747060599588,0.121821886746137,4.75897292419805,1.9458053217771e-06,0.000839207004908384
"ENSMUSG00000048031",901.858393095692,0.604041414673623,0.12759182265862,4.73417027899802,2.1995301457688e-06,0.000918991189029026
"ENSMUSG00000106518",16.2713411872649,2.98690764213764,0.634545838330189,4.7071581936424,2.51193974779264e-06,0.0010177161947875
"ENSMUSG00000000320",80.9205373459339,-1.77774771443641,0.379703423856894,-4.68193754056434,2.84176075705988e-06,0.00111748062711443
"ENSMUSG00000025993",369.046353706437,-1.67644747087149,0.362317667256628,-4.62701000358359,3.70982601900342e-06,0.00132016383091703
"ENSMUSG00000034216",636.152481604617,0.658153044514119,0.142313848331642,4.62465917568603,3.75214850971182e-06,0.00132016383091703
"ENSMUSG00000029372",156.308750521868,-1.71901109112447,0.37143240200196,-4.62805905424319,3.69108775091309e-06,0.00132016383091703
"ENSMUSG00000014905",1502.74750115653,1.23498612709037,0.266969940863984,4.62593699910047,3.72908647913492e-06,0.00132016383091703
"ENSMUSG00000106847",837.753399356933,0.517169395480364,0.112379155523818,4.60200464285169,4.18443874296095e-06,0.0014345114357279
"ENSMUSG00000032766",100.630102094219,-1.77813910041882,0.390344570278207,-4.55530635190212,5.23092859310407e-06,0.00174843788224503
"ENSMUSG00000097261",38.2916617847679,1.91937006663558,0.423942249388924,4.52743285058798,5.97045641814794e-06,0.00193287915840852
"ENSMUSG00000029761",53.7017845673971,-2.38359440664678,0.526892646440063,-4.52387108218624,6.07187170180687e-06,0.00193287915840852
"ENSMUSG00000097266",15.3766636248851,-4.50813174383231,1.00332916804944,-4.49317321512391,7.01696638031158e-06,0.00218178698848293
"ENSMUSG00000067818",81.4463870255193,-1.79259086042442,0.40000188585989,-4.48145602256565,7.41355108072457e-06,0.00220264839887306
"ENSMUSG00000047514",1178.46755616849,0.636264665386916,0.141958377019279,4.48205085706571,7.39291191590226e-06,0.00220264839887306
"ENSMUSG00000048410",228.751880411703,0.676849077491633,0.151685785686393,4.46217867039304,8.11305338529437e-06,0.00235807660350839
"ENSMUSG00000040128",3427.74427980689,0.886080926224306,0.199516590120594,4.44113908366584,8.94839320533324e-06,0.00253023667980145
"ENSMUSG00000097120",53.2084130786967,1.32642713458506,0.298885881886067,4.43790494959104,9.08387140093266e-06,0.00253023667980145
"ENSMUSG00000048109",445.760535328024,0.714302660729784,0.162762336965808,4.38862376914532,1.14070209980927e-05,0.00303912318929783
"ENSMUSG00000105789",19.4955718784736,2.35982903283163,0.538146025267857,4.38510910055881,1.15927660923103e-05,0.00303912318929783
"ENSMUSG00000028680",254.077671368425,-1.33993981017474,0.305334386168258,-4.38843402798513,1.14169755690216e-05,0.00303912318929783
"ENSMUSG00000035585",287.866928151031,-0.857117927170325,0.195886586270105,-4.37558254238224,1.21108601048511e-05,0.00311388845388191
"ENSMUSG00000028497",159.720096979382,-1.47083699045026,0.338310295794986,-4.34759748293792,1.3763690202281e-05,0.00347208562272636
"ENSMUSG00000044080",89.4691618912533,-1.3961887155382,0.322003425996468,-4.3359436664923,1.45136113572996e-05,0.0035934626638351
"ENSMUSG00000097347",372.857706366209,-1.37176954946843,0.318239030031786,-4.3105006615041,1.62885341633832e-05,0.00395959457753515
"ENSMUSG00000002108",92.7462438781989,-1.73350315682413,0.404274721082116,-4.28793359175189,1.80342988592922e-05,0.004305688852656
"ENSMUSG00000061410",79.8555671178103,-2.21141116747154,0.518214441191176,-4.26736692707436,1.97793684749855e-05,0.00463947643000975
"ENSMUSG00000026604",307.714138128134,0.893307928118116,0.210210373841943,4.24959012151224,2.14162033249143e-05,0.00493680411127765
"ENSMUSG00000030708",135.018227378658,-1.49305987288009,0.3521892478116,-4.23936812994015,2.2414981988742e-05,0.00499480515315802
"ENSMUSG00000058794",260.383093619338,-1.1799343449976,0.278186418886054,-4.24152390228979,2.22007241070751e-05,0.00499480515315802
"ENSMUSG00000042770",126.743116527491,-2.29961397410869,0.548063763556799,-4.19588764486957,2.71804971269636e-05,0.00584730666727776
"ENSMUSG00000006205",49.7768083149551,-2.30367266788006,0.54888845582901,-4.19697780745038,2.70500428161092e-05,0.00584730666727776
"ENSMUSG00000046768",14.1686073921012,-3.39764054534154,0.810350443490155,-4.19280395616001,2.75527539295811e-05,0.00584730666727776
"ENSMUSG00000026938",273.571930283736,-1.87109517626375,0.44756752800231,-4.18058741798196,2.90757004205652e-05,0.00607409554098369
"ENSMUSG00000004655",26.0255871646188,-1.98489412998429,0.475254205988051,-4.17648935027877,2.96042596026563e-05,0.00608936847519254
"ENSMUSG00000031613",311.208423893989,-1.12546275520682,0.269993987768646,-4.16847339641955,3.0664654350277e-05,0.00621191558580612
"ENSMUSG00000030159",70.5664707325164,-1.69773964583784,0.408714076537023,-4.15385655474006,3.26918159514909e-05,0.00642778793046226
"ENSMUSG00000030786",341.427769567575,-1.04415684957697,0.251238793440094,-4.15603353001271,3.23820321350152e-05,0.00642778793046226
"ENSMUSG00000025510",122.846696967999,-1.31260351235109,0.31692440122051,-4.14169280527506,3.44751890931377e-05,0.00668019243732247
"ENSMUSG00000088030",117.638138271253,-1.65276870864452,0.399409502131253,-4.13803051711421,3.50299787636986e-05,0.00669072594386644
"ENSMUSG00000026579",57.8891995598526,-1.56289481319371,0.378185356805212,-4.13261588549207,3.58657832630853e-05,0.00675388059475283
"ENSMUSG00000038069",313.982432003934,-0.694746963830153,0.168901722859816,-4.11332076468381,3.90007872444768e-05,0.00724222952025909
"ENSMUSG00000043832",305.225631068361,-1.42022122048173,0.345542613869409,-4.11011887818407,3.954554773016e-05,0.0072427941527704
"ENSMUSG00000023905",47.684252346625,-1.29207701167167,0.316483523461943,-4.08260435658047,4.45338034627677e-05,0.00804617503104329
"ENSMUSG00000096715",784.161153543883,-1.27098395080653,0.312815771109938,-4.0630430693977,4.84370880690246e-05,0.00863471823310479
"ENSMUSG00000020057",55.9951105107011,-1.66832149616107,0.411527354242237,-4.05397473330302,5.03546575377524e-05,0.00885844435894408
"ENSMUSG00000002897",1700.26204836728,-0.451383916734532,0.111542638401225,-4.04673874676408,5.19361506073757e-05,0.00901800433273523
"ENSMUSG00000054679",12.6405944387671,-3.83414709537896,0.948848225161753,-4.04084340751688,5.32593136320564e-05,0.00902729662806336
"ENSMUSG00000029603",4541.64207539834,0.702436273663649,0.174082740532471,4.03507132019574,5.45857144285774e-05,0.00902729662806336
"ENSMUSG00000032193",411.201163222248,-1.0273017692536,0.254621608617571,-4.03462131447201,5.46904283375566e-05,0.00902729662806336
"ENSMUSG00000069792",251.10761519116,-1.40323578870238,0.347792712254013,-4.03469003018532,5.46744262589164e-05,0.00902729662806336
"ENSMUSG00000025855",29.059127834113,-2.61272777934053,0.649403809784868,-4.02327140674778,5.73952903804066e-05,0.00935823210226874
"ENSMUSG00000004044",36.0412689984257,-2.73571010514194,0.682654485325151,-4.00745935747996,6.13754190617048e-05,0.00988661870909631
"ENSMUSG00000110982",42.6400560258975,-2.88499713758549,0.72166678219107,-3.99768592483401,6.39647449920357e-05,0.0101390209500107
"ENSMUSG00000061751",25.8056058802097,-2.01306663464543,0.503787697347627,-3.99586302969277,6.4458996316448e-05,0.0101390209500107
"ENSMUSG00000074922",462.141431170142,0.813024523407429,0.203653417463808,3.99219680932639,6.54640048773796e-05,0.0101773691303554
"ENSMUSG00000078810",19.9769164203175,-2.61103635888225,0.654514201812768,-3.98927380284586,6.62758853113559e-05,0.0101851561679635
"ENSMUSG00000039208",339.669532400245,-1.48061357511636,0.372103742592502,-3.97903435423869,6.9195742805775e-05,0.0105130350149229
